sample_id	chrom	beg_GRCh38	end_GRCh38	length	type	cf
S010	chr1	49500000	96500000	47000000	CN-LOH	0.066
S004	chr1	49500000	104500000	55000000	CN-LOH	0.085
S009	chr1	51000000	90000000	39000000	CN-LOH	0.116
S012	chr1	52000000	102000000	50000000	CN-LOH	0.197
S015	chr1	54000000	78000000	24000000	CN-LOH	0.172
S013	chr1	54500000	81500000	27000000	CN-LOH	0.096
S003	chr1	55000000	85000000	30000000	CN-LOH	0.201
S008	chr1	59000000	91000000	32000000	CN-LOH	0.088
S047	chr2	204000000	217000000	13000000	CN-LOH	0.153
S045	chr7	58000000	88000000	30000000	CN-LOH	0.067
S029	chr9	57500000	95500000	38000000	CN-LOH	0.152
S028	chr9	62500000	88500000	26000000	CN-LOH	0.057
S025	chr9	63000000	97000000	34000000	CN-LOH	0.168
S018	chr9	63500000	101500000	38000000	CN-LOH	0.085
S021	chr9	67000000	85000000	18000000	CN-LOH	0.211
S023	chr9	67500000	94500000	27000000	CN-LOH	0.149
S027	chr9	68500000	94500000	26000000	CN-LOH	0.21
S022	chr9	72000000	90000000	18000000	CN-LOH	0.178
S019	chr9	74500000	98500000	24000000	CN-LOH	0.163
S024	chr9	75000000	96000000	21000000	CN-LOH	0.092
S020	chr9	76500000	98500000	22000000	CN-LOH	0.068
S026	chr9	78000000	100000000	22000000	CN-LOH	0.121
S049	chr11	19000000	41000000	22000000	CN-LOH	0.104
S040	chr11	62000000	77000000	15000000	CN-LOH	0.115
S042	chr11	93000000	113000000	20000000	CN-LOH	0.122
S033	chr14	31000000	65000000	34000000	CN-LOH	0.094
S032	chr14	32000000	67000000	35000000	CN-LOH	0.148
S037	chr14	33000000	65000000	32000000	CN-LOH	0.21
S035	chr14	37500000	54500000	17000000	CN-LOH	0.219
S031	chr14	38500000	56500000	18000000	CN-LOH	0.115
S030	chr14	40000000	59000000	19000000	CN-LOH	0.108
S034	chr14	42000000	63000000	21000000	CN-LOH	0.121
S036	chr14	42500000	65500000	23000000	CN-LOH	0.116
S038	chr14	44000000	63000000	19000000	CN-LOH	0.212
S039	chr14	45500000	62500000	17000000	CN-LOH	0.067
S041	chr17	17000000	35000000	18000000	CN-LOH	0.199
S043	chr17	33000000	57000000	24000000	CN-LOH	0.195
S044	chr17	34000000	46000000	12000000	CN-LOH	0.115
S046	chr20	12000000	41000000	29000000	CN-LOH	0.083
S048	chr22	2000000	12000000	10000000	CN-LOH	0.154
S131	chr2	53000000	73000000	20000000	Loss	0.263
S094	chr5	68500000	111500000	43000000	Loss	0.071
S101	chr5	76000000	104000000	28000000	Loss	0.077
S099	chr5	78000000	95000000	17000000	Loss	0.141
S100	chr5	78000000	102000000	24000000	Loss	0.229
S096	chr5	78500000	110500000	32000000	Loss	0.267
S102	chr5	79000000	114000000	35000000	Loss	0.125
S103	chr5	79000000	116000000	37000000	Loss	0.247
S097	chr5	82500000	106500000	24000000	Loss	0.182
S095	chr5	83000000	114000000	31000000	Loss	0.105
S104	chr5	83000000	115000000	32000000	Loss	0.181
S094	chr5	83500000	101500000	18000000	Loss	0.176
S098	chr5	95000000	114000000	19000000	Loss	0.269
S134	chr6	28000000	45000000	17000000	Loss	0.169
S129	chr6	46000000	66000000	20000000	Loss	0.272
S106	chr11	33000000	63000000	30000000	Loss	0.066
S105	chr11	34500000	65500000	31000000	Loss	0.262
S115	chr11	40000000	58000000	18000000	Loss	0.274
S111	chr11	42000000	59000000	17000000	Loss	0.147
S112	chr11	42500000	71500000	29000000	Loss	0.16
S116	chr11	43500000	67500000	24000000	Loss	0.065
S107	chr11	43500000	79500000	36000000	Loss	0.104
S108	chr11	46500000	70500000	24000000	Loss	0.09
S113	chr11	46500000	80500000	34000000	Loss	0.172
S114	chr11	49500000	73500000	24000000	Loss	0.124
S109	chr11	51500000	63500000	12000000	Loss	0.08
S110	chr11	54000000	71000000	17000000	Loss	0.234
S126	chr13	35000000	48000000	13000000	Loss	0.111
S130	chr16	68000000	81000000	13000000	Loss	0.092
S123	chr17	19000000	41000000	22000000	Loss	0.156
S121	chr17	19500000	44500000	25000000	Loss	0.13
S120	chr17	20500000	38500000	18000000	Loss	0.06
S125	chr17	24500000	38500000	14000000	Loss	0.149
S118	chr17	25000000	39000000	14000000	Loss	0.27
S117	chr17	29500000	40500000	11000000	Loss	0.15
S124	chr17	31000000	51000000	20000000	Loss	0.113
S122	chr17	33500000	46500000	13000000	Loss	0.277
S119	chr17	35500000	45500000	10000000	Loss	0.073
S132	chr18	5000000	24000000	19000000	Loss	0.174
S127	chr18	17000000	26000000	9000000	Loss	0.155
S128	chr19	7000000	19000000	12000000	Loss	0.214
S133	chr19	11000000	20000000	9000000	Loss	0.238
